id,y
0,1
1,0
2,1
3,0
4,1
5,0
6,1
7,1
8,1
9,0
10,0
11,1
12,1
13,1
14,1
15,1
16,1
17,0
18,1
19,1
20,1
21,0
22,0
23,1
24,0
25,1
26,1
27,0
28,1
29,0
30,0
31,1
32,1
33,0
34,1
35,1
36,0
37,1
38,0
39,0
40,0
41,1
42,1
43,0
44,0
45,0
46,1
47,1
48,1
49,0
50,1
51,1
52,1
53,0
54,1
55,1
56,0
57,1
58,1
59,0
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,0
69,1
70,0
71,1
72,1
73,1
74,0
75,1
76,1
77,1
78,1
79,0
80,1
81,1
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,0
90,0
91,0
92,0
93,1
94,1
95,1
96,1
97,0
98,0
99,0
100,0
101,1
102,0
103,1
104,0
105,1
106,1
107,1
108,1
109,1
110,1
111,0
112,1
113,1
114,1
115,1
116,0
117,1
118,1
119,0
120,1
121,1
122,0
123,1
124,1
125,0
126,1
127,0
128,1
129,0
130,1
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,1
139,0
140,0
141,0
142,0
143,1
144,0
145,0
146,1
147,0
148,1
149,0
150,1
151,1
152,1
153,1
154,1
155,1
156,0
157,0
158,1
159,0
160,0
161,0
162,1
163,0
164,0
165,1
166,1
167,1
168,1
169,1
170,0
171,1
172,1
173,1
174,0
175,0
176,1
177,1
178,1
179,1
180,0
181,0
182,0
183,1
184,1
185,1
186,0
187,0
188,0
189,1
190,0
191,0
192,1
193,1
194,1
195,0
196,0
197,0
198,1
199,0
200,1
201,1
202,0
203,1
204,0
205,1
206,1
207,0
208,0
209,0
210,0
211,0
212,1
213,1
214,0
215,1
216,0
217,1
218,0
219,0
220,0
221,0
222,1
223,1
224,0
225,0
226,1
227,1
228,1
229,0
230,1
231,0
232,0
233,0
234,0
235,1
236,1
237,0
238,1
239,1
240,1
241,0
242,0
243,0
244,0
245,0
246,0
247,1
248,0
249,1
250,1
251,0
252,1
253,0
254,0
255,0
256,0
257,0
258,1
259,1
260,1
261,1
262,1
263,0
264,1
265,1
266,0
267,0
268,1
269,1
270,0
271,1
272,0
273,1
274,0
275,1
276,0
277,1
278,0
279,1
280,1
281,1
282,0
283,1
284,0
285,1
286,0
287,0
288,1
289,0
290,1
291,0
292,1
293,1
294,1
295,1
296,0
297,0
298,0
299,0
300,0
301,1
302,1
303,0
304,1
305,0
306,1
307,1
308,0
309,1
310,1
311,0
312,1
313,1
314,1
315,1
316,1
317,1
318,0
319,1
320,1
321,1
322,1
323,0
324,1
325,1
326,0
327,1
328,1
329,0
330,0
331,0
332,1
333,1
334,1
335,1
336,1
337,1
338,0
339,0
340,0
341,1
342,1
343,0
344,0
345,1
346,1
347,0
348,1
349,0
350,1
351,0
352,1
353,0
354,1
355,0
356,0
357,1
358,0
359,1
360,1
361,0
362,1
363,1
364,0
365,1
366,0
367,0
368,1
369,1
370,0
371,1
372,0
373,1
374,0
375,0
376,0
377,1
378,0
379,0
380,0
381,1
382,1
383,0
384,1
385,1
386,0
387,1
388,0
389,0
390,0
391,0
392,0
393,1
394,0
395,1
396,1
397,1
398,1
399,0
400,1
401,1
402,1
403,1
404,0
405,1
406,0
407,0
408,0
409,0
410,0
411,0
412,1
413,0
414,0
415,0
416,0
417,1
418,1
419,0
420,1
421,0
422,0
423,0
424,0
425,1
426,0
427,0
428,1
429,1
430,1
431,0
432,0
433,1
434,0
435,1
436,1
437,0
438,0
439,1
440,0
441,0
442,1
443,0
444,1
445,1
446,0
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,0
455,0
456,1
457,1
458,0
459,1
460,1
461,1
462,0
463,0
464,0
465,0
466,1
467,0
468,1
469,1
470,1
471,0
472,0
473,0
474,1
475,1
476,1
477,1
478,1
479,0
480,0
481,0
482,0
483,1
484,0
485,1
486,1
487,0
488,1
489,1
490,0
491,1
492,1
493,1
494,0
495,1
496,0
497,0
498,0
499,1
